z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
1499	0.188199996948	0.122342862189	-999.25	0.159971430898	0.101400002837	0.143414288759	-999.25	0.141971439123	0.157042860985	0.151428565383	0.155428558588	0.128571435809	0.158014282584	
1500	0.168549999595	0.117566667497	-999.25	0.179766669869	0.17948333919	0.116633333266	-999.25	0.155100002885	0.206416666508	0.158166661859	0.137999996543	0.119833342731	0.205749988556	
1501	0.195557132363	0.127485707402	-999.25	0.17818570137	0.143657132983	0.123642854393	-999.25	0.13224285841	0.122942857444	0.183142870665	0.133714288473	0.120000004768	0.11925714463	
1502	0.208049997687	0.123850010335	-999.25	0.158550009131	0.154799997807	0.141666665673	-999.25	0.151950001717	0.120050005615	0.108666665852	0.128499999642	0.119333334267	0.121499992907	
1503	0.15538571775	0.0998857170343	-999.25	0.179642871022	0.155642852187	0.143371418118	-999.25	0.213857159019	0.19801427424	0.0931428596377	0.106285728514	0.120999999344	0.201342850924	
1504	0.13162855804	0.0866428539157	-999.25	0.182442873716	0.185371428728	0.130700007081	-999.25	0.199314311147	0.144485712051	0.165714278817	0.124571427703	-999.25	0.143114298582	
1505	0.0857500061393	0.121183335781	-999.25	0.185283347964	0.154733330011	0.152900010347	-999.25	0.156199991703	0.141683325171	0.154833331704	0.177666679025	-999.25	0.147150009871	
1506	0.105585716665	0.121257141232	-999.25	0.181614279747	0.15061429143	0.164199993014	-999.25	0.184857144952	0.196928575635	0.123571418226	0.178428560495	-999.25	0.192742854357	
1507	0.0884666666389	0.0909833312035	-999.25	0.185833334923	0.170333340764	0.159633338451	-999.25	0.197866663337	0.130883336067	0.17433334887	0.160166665912	-999.25	0.125349998474	
1508	0.0852714255452	0.137028574944	-999.25	0.194985732436	0.199285715818	0.15150000155	-999.25	0.186271443963	0.103342853487	0.142142862082	0.154571428895	-999.25	0.103971429169	
1509	0.15569999814	0.129466667771	-999.25	0.192283332348	0.162316665053	0.155883327127	-999.25	0.172316670418	0.126866653562	0.0890000090003	0.156499996781	-999.25	0.124733328819	
1510	0.148714289069	0.105157136917	-999.25	0.205285698175	0.193071454763	0.174000024796	-999.25	0.215257138014	0.230028554797	0.0834285691381	0.142571434379	-999.25	0.228171423078	
1511	0.119199991226	0.165799990296	-999.25	0.18736666441	0.192266657948	0.180000007153	-999.25	0.200516685843	0.217149987817	0.171000003815	0.118333332241	-999.25	0.218983337283	
1512	0.105442866683	0.143914297223	-999.25	0.174157142639	0.200328558683	0.171985715628	-999.25	0.16400000453	0.242214277387	0.188000008464	0.117428563535	-999.25	0.240628585219	
1513	0.123442851007	0.12937143445	-999.25	0.191899999976	0.199499994516	0.159157142043	-999.25	0.158828571439	0.224085718393	0.196000009775	0.19085714221	-999.25	0.221757128835	
1514	0.0840333402157	0.192533329129	-999.25	0.191833332181	0.187600001693	0.152816668153	-999.25	0.149083331227	0.226733326912	0.209666654468	0.13966666162	-999.25	0.230016663671	
1515	0.10088571161	0.187242850661	-999.25	0.18802857399	0.209857136011	0.151800006628	-999.25	0.135585725307	0.225471422076	0.196571439505	0.141571432352	-999.25	0.219585701823	
1516	0.170283332467	0.193266674876	-999.25	0.178933337331	0.213466688991	0.162083342671	-999.25	0.206016644835	0.230149999261	0.204833328724	0.187833324075	-999.25	0.233166649938	
1517	0.169528573751	0.199599996209	-999.25	0.179742828012	0.207042858005	0.160457134247	-999.25	0.202300027013	0.194657161832	0.188714280725	0.136428579688	-999.25	0.186728581786	
1518	0.146449998021	0.185033336282	-999.25	0.165299996734	0.219616666436	0.16075001657	-999.25	0.171783328056	0.160316661	0.176166653633	0.0986666753888	-999.25	0.161633342505	
1519	0.145942851901	0.135471433401	-999.25	0.0574571453035	0.201142862439	0.153171434999	-999.25	0.166928574443	0.161628574133	0.127714291215	0.108285717666	-999.25	0.162985697389	
1520	0.161257147789	0.171342864633	-999.25	0.0324857160449	0.17977142334	0.145328566432	-999.25	0.189914301038	0.183400020003	0.118714280427	0.200857147574	-999.25	0.181357130408	
1521	0.173566654325	0.146999999881	-999.25	0.0963666662574	0.193233326077	0.0913000032306	-999.25	0.195616662502	0.195866659284	0.131499990821	0.189999997616	-999.25	0.191816672683	
1522	0.0917000025511	0.163728579879	-999.25	0.113971427083	0.206814274192	0.0345285721123	-999.25	0.199342861772	0.146328568459	0.166857153177	0.206857129931	-999.25	0.14575715363	
1523	0.107916660607	0.147600010037	-999.25	0.114666670561	0.191633328795	0.0312833338976	-999.25	0.214349985123	0.144033327699	0.124000005424	0.200666666031	-999.25	0.141683354974	
1524	0.179242864251	0.195114269853	-999.25	0.116857148707	0.218471422791	0.0895285755396	-999.25	0.230085730553	0.229228585958	0.108714282513	0.200285717845	-999.25	0.2278714329	
1525	0.11168333143	0.196266651154	-999.25	0.12213332206	0.192333325744	0.0894500017166	-999.25	0.242533326149	0.174166679382	0.162666663527	0.200833335519	-999.25	0.174250006676	
1526	0.133471444249	0.105728566647	-999.25	0.126971438527	0.199628591537	0.0894714221358	-999.25	0.217571422458	0.184599995613	0.19085714221	0.204000011086	-999.25	0.186671420932	
1527	0.154466643929	0.0793166682124	-999.25	0.128983333707	0.149949982762	0.0879666730762	-999.25	0.21181666851	0.190450012684	0.140333324671	0.171000003815	-999.25	0.19088332355	
