z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
248	2.49833345413	2.49180006981	2.52000021935	-999.25	-999.25	2.5177500248	2.40468335152	-999.25	2.5193002224	2.52649998665	2.37800002098	2.4929997921	2.5218501091	
249	2.51491427422	2.50511431694	2.53539991379	-999.25	-999.25	2.52598571777	2.37338590622	-999.25	2.51015710831	2.51271414757	2.28942871094	2.38214278221	2.50839996338	
250	2.51176667213	2.49926686287	2.52311682701	-999.25	-999.25	2.54928326607	2.36761665344	-999.25	2.5068333149	2.54766654968	2.36733341217	2.48250007629	2.50921654701	
251	2.50142860413	2.49981427193	2.52672839165	-999.25	-999.25	2.52687120438	2.36312866211	-999.25	2.50458574295	2.54042863846	2.53271436691	2.48900008202	2.50789999962	
252	2.48636651039	2.50276660919	2.52681660652	-999.25	-999.25	2.50266671181	2.33906674385	-999.25	2.52804994583	2.527333498	2.52166676521	2.51183342934	2.5287334919	
253	2.50845718384	2.49601411819	2.5202858448	-999.25	-999.25	2.5036854744	2.32174301147	-999.25	2.51347160339	2.54771447182	2.51271438599	2.50414299965	2.51627159119	
254	2.50370001793	2.45110011101	2.52629995346	-999.25	-999.25	2.46433329582	2.33480000496	-999.25	2.50131678581	2.55733323097	2.50999999046	2.50383329391	2.50661659241	
255	2.50722885132	2.42675733566	2.52972841263	-999.25	-999.25	2.43485713005	2.35757136345	-999.25	2.50460004807	2.53514289856	2.51857161522	2.47857141495	2.50468587875	
256	2.50049996376	2.44227147102	2.53492856026	-999.25	-999.25	2.44631433487	2.37454271317	-999.25	2.51870012283	2.53514289856	2.51814293861	2.41328573227	2.5171713829	
257	2.51461672783	2.44723320007	2.52271652222	-999.25	-999.25	2.49826669693	2.38379979134	-999.25	2.51276659966	2.53166675568	2.51999998093	2.42833328247	2.51276659966	
258	2.50060009956	2.44067144394	2.53731417656	-999.25	-999.25	2.48858571053	2.39949989319	-999.25	2.50382852554	2.54200005531	2.51571416855	2.4757142067	2.50782847404	
259	2.50156664848	2.45275020599	2.53428316116	-999.25	-999.25	2.52743315697	2.40241646767	-999.25	2.52698326111	2.54750013351	2.50383329391	2.21233344078	2.52900004387	
260	2.49812841415	2.46137166023	2.51548576355	-999.25	-999.25	2.53167128563	2.3585858345	-999.25	2.51587128639	2.53171420097	2.50614285469	2.42342877388	2.51655721664	
261	2.48378324509	2.47113347054	2.53003334999	-999.25	-999.25	2.51911664009	2.37511658669	-999.25	2.49883341789	2.55333328247	2.5068333149	2.50733327866	2.50281667709	
262	2.47865724564	2.46357131004	2.54851412773	-999.25	-999.25	2.51477122307	2.40018582344	-999.25	2.5186715126	2.5145714283	2.50614285469	2.501714468	2.51899981499	
263	2.42654275894	2.46525716782	2.54341435432	-999.25	-999.25	2.51782846451	2.42317152023	-999.25	2.52452850342	2.54128599167	2.51099991798	2.49500012398	2.52504301071	
264	2.48468327522	2.45363330841	2.55043339729	-999.25	-999.25	2.51803326607	2.42506670952	-999.25	2.51083350182	2.543166399	2.50066661835	2.47316670418	2.51314997673	
265	2.50144314766	2.46228575706	2.54125714302	-999.25	-999.25	2.52468562126	2.39784288406	-999.25	2.5053858757	2.53928565979	2.53514266014	2.38500022888	2.50548577309	
266	2.51064991951	2.47024989128	2.55129981041	-999.25	-999.25	2.52251648903	2.42464995384	-999.25	2.51541686058	2.54183316231	2.54083323479	2.34450030327	2.51941657066	
267	2.5092856884	2.46352887154	2.52382850647	-999.25	-999.25	2.52287125587	2.39215707779	-999.25	2.52132844925	2.53828573227	2.40885710716	2.52742886543	2.52857160568	
268	2.50788331032	2.47436642647	2.53874993324	-999.25	-999.25	2.51983332634	2.35701680183	-999.25	2.52775001526	2.54450011253	2.53699994087	2.41649985313	2.53016662598	
269	2.5004427433	2.47128558159	2.55187177658	-999.25	-999.25	2.51888585091	2.33362841606	-999.25	2.49774289131	2.54357147217	2.51899981499	2.4558570385	2.50749993324	
270	2.51563334465	2.49661660194	2.53635001183	-999.25	-999.25	2.5298666954	2.34729981422	-999.25	2.54678320885	2.54099988937	2.49666666985	2.40550017357	2.54665017128	
271	2.50248551369	2.50309991837	2.52311444283	-999.25	-999.25	2.53481435776	2.38342857361	-999.25	2.532371521	2.53214287758	2.30085730553	2.37699961662	2.53504252434	
272	2.49612855911	2.48878598213	2.53724265099	-999.25	-999.25	2.53251433372	2.37935709953	-999.25	2.5224571228	2.53814268112	2.55471420288	2.43157148361	2.52725720406	
273	2.47930002213	2.49386668205	2.52835011482	-999.25	-999.25	2.52653336525	2.39869999886	-999.25	2.52393317223	2.55399990082	2.54733347893	2.44616675377	2.52636671066	
274	2.48659968376	2.49267148972	2.54014277458	-999.25	-999.25	2.51897120476	2.3988571167	-999.25	2.52421426773	2.55785703659	2.52971434593	2.41885733604	2.53537154198	
275	2.48456668854	2.49233341217	2.54590010643	-999.25	-999.25	2.52905011177	2.3914000988	-999.25	2.52096652985	2.5203332901	2.53583312035	2.40283322334	2.52271676064	
276	2.46509981155	2.49692869186	2.54050016403	-999.25	-999.25	2.52974295616	2.39192843437	-999.25	2.50270009041	2.53771424294	2.52771425247	2.40071439743	2.50681447983	
277	2.49031686783	2.49485015869	2.53303337097	-999.25	-999.25	2.52076649666	2.41398334503	-999.25	2.53911662102	2.57183337212	2.52183318138	2.40599989891	2.54981660843	
278	2.50801420212	2.48829984665	2.50074267387	-999.25	-999.25	2.5183429718	2.38937139511	-999.25	2.55820012093	2.55942869186	2.52371430397	2.36742854118	2.55904269218	
279	2.49239993095	2.48556685448	2.5313501358	-999.25	-999.25	2.5084002018	2.40888333321	-999.25	2.51515007019	2.53133320808	2.51233315468	2.39016652107	2.52189993858	
280	2.51571440697	2.48858594894	2.51770019531	-999.25	-999.25	2.51699995995	2.4065144062	-999.25	2.56209993362	2.56957125664	2.51785707474	2.39899992943	2.56550002098	
281	2.534542799	2.49487137794	2.52444291115	-999.25	-999.25	2.52172851562	2.40345716476	-999.25	2.53031420708	2.56828570366	2.53942847252	2.40214300156	2.53305697441	
282	2.51861667633	2.5218000412	2.53876662254	-999.25	-999.25	2.51438331604	2.43700003624	-999.25	2.5232167244	2.54916667938	2.53150010109	2.41000008583	2.5298500061	
283	2.49434280396	2.48769974709	2.55262875557	-999.25	-999.25	2.51769995689	2.42307138443	-999.25	2.49361419678	2.52885699272	2.54457139969	2.53485703468	2.49609994888	
284	2.50875020027	2.48806667328	2.53056669235	-999.25	-999.25	2.52078318596	2.44739985466	-999.25	2.52655005455	2.5366666317	2.53233337402	2.50183320045	2.52903342247	
